season_year,player_name,source
2023,Jaylen Brown,en.wikipedia
2023,DeMar DeRozan,en.wikipedia
2023,Tyrese Haliburton,en.wikipedia
2023,Jrue Holiday,en.wikipedia
2023,Julius Randle,en.wikipedia
2023,Bam Adebayo,en.wikipedia
2023,Joel Embiid,en.wikipedia
2023,Pascal Siakam,en.wikipedia
2024,Tyrese Haliburton,en.wikipedia
2024,Damian Lillard,en.wikipedia
2024,Giannis Antetokounmpo,en.wikipedia
2024,Jayson Tatum,en.wikipedia
2024,Joel Embiid,en.wikipedia
2024,Jalen Brunson,en.wikipedia
2024,Tyrese Maxey,en.wikipedia
2024,Donovan Mitchell,en.wikipedia
2024,Trae Young,en.wikipedia
2024,Paolo Banchero,en.wikipedia
2024,Scottie Barnes,en.wikipedia
2024,Jaylen Brown,en.wikipedia
2024,Julius Randle,en.wikipedia
2024,Bam Adebayo,en.wikipedia
2024,Luka Dončić,en.wikipedia
2024,Shai Gilgeous-Alexander,en.wikipedia
2024,Kevin Durant,en.wikipedia
2024,LeBron James,en.wikipedia
2024,Nikola Jokić,en.wikipedia
2024,Devin Booker,en.wikipedia
2024,Stephen Curry,en.wikipedia
2024,Anthony Edwards,en.wikipedia
2024,Paul George,en.wikipedia
2024,Kawhi Leonard,en.wikipedia
2024,Karl-Anthony Towns,en.wikipedia
2024,Anthony Davis,en.wikipedia
